address,first_txn,last_txn,lifecycle_days,total_txns,avg_daily_txns,out_degree,in_degree,total_income,total_expense,final_balance
0x09278b36863be4ccd3d0c22d643e8062d7a11377,2025-02-21 15:48:47,2025-02-28 23:22:23,7,520,74.28571428571429,450,70,20015863.703056894,51351.42811564211,19964512.27494125
0x0a3b4bde9116a950a036204bf0d7a16d285f8995,2025-02-25 03:17:59,2025-02-28 21:37:23,3,131,43.666666666666664,84,47,488.18875524148467,2926.529849675007,-2438.3410944335224
0x0c014567daff377c36e032a2593f9f1177f77750,2025-02-25 05:00:23,2025-02-25 05:00:23,0,1,0.0,0,1,36.999986400283035,0.0,36.999986400283035
0x0e8c1e2881f35ef20343264862a242fb749d6b35,2025-02-21 15:50:47,2025-03-03 08:33:23,9,358,39.77777777777778,277,81,20267637.57377977,32040.641023041306,20235596.93275673
0x0fa09c3a328792253f8dee7116848723b72a6d2e,2025-02-18 14:53:23,2025-03-05 06:44:23,14,71,5.071428571428571,51,20,176488.37958200794,0.27579298382822,176488.1037890241
0x140c9ab92347734641b1a7c124ffdee58c20c3e3,2025-02-21 15:49:47,2025-03-03 11:36:47,9,465,51.666666666666664,328,137,20116034.7489136,40036.987728407235,20075997.761185195
0x1512fcb09463a61862b73ec09b9b354af1790268,2025-02-21 16:04:47,2025-03-04 10:59:35,10,327,32.7,210,117,20110004.555846065,29031.33888575543,20080973.21696031
0x1542368a03ad1f03d96d51b414f4738961cf4443,2025-02-21 15:19:47,2025-03-01 17:01:23,8,48,6.0,15,33,20211818.10016789,45000.0,20166818.10016789
0x1bb0970508316dc735329752a4581e0a4babc6b4,2025-02-21 15:50:59,2025-03-03 07:09:11,9,241,26.77777777777778,175,66,20277849.35912777,25562.090021255804,20252287.269106515
0x1eb27f136bfe7947f80d6cee3cf0bfdf92b45e57,2025-02-21 15:48:35,2025-03-03 08:37:23,9,576,64.0,477,99,20015794.42806118,43840.17687026733,19971954.251190912
0x21032176b43d9f7e9410fb37290a78f4fed6044c,2025-02-21 16:04:35,2025-03-03 09:38:35,9,186,20.666666666666668,144,42,20110044.43142662,22232.10954684979,20087812.321879767
0x2290937a4498c96effb87b8371a33d108f8d433f,2025-02-21 15:49:35,2025-03-03 08:56:47,9,586,65.11111111111111,407,179,20172616.555406865,36790.64656182905,20135825.908845037
0x23db729908137cb60852f2936d2b5c6de0e1c887,2025-02-21 15:49:35,2025-02-28 23:07:35,7,449,64.14285714285714,351,98,20010805.067298345,44653.36998079578,19966151.697317548
0x30a822cdd2782d2b2a12a08526452e885978fa1d,2025-02-21 15:49:47,2025-03-03 10:02:11,9,293,32.55555555555556,218,75,20272395.00900287,20909.899605450657,20251485.109397423
0x363908dF2b0890E7E5C1E403935133094287D7D1,2025-02-22 18:49:11,2025-02-23 19:39:35,1,16,16.0,0,0,0.0,0.0,0.0
0x36ed3c0213565530c35115d93a80f9c04d94e4cb,2025-02-21 14:56:11,2025-03-01 17:00:35,8,71,8.875,15,56,20144647.021399114,70000.0,20074647.021399114
0x3a21f4e6bbe527d347ca7c157f4233c935779847,2025-02-21 15:48:11,2025-03-01 02:12:35,7,572,81.71428571428571,384,188,20021558.61607351,37152.3839409498,19984406.23213256
0x40e98feeebad7ddb0f0534ccaa617427ea10187e,2025-02-21 15:50:47,2025-03-03 09:24:11,9,469,52.111111111111114,307,162,20232373.927088674,35401.35138047478,20196972.5757082
0x4571bd67d14280e40bf3910bd39fbf60834f900a,2025-02-22 06:28:23,2025-02-28 22:19:11,6,485,80.83333333333333,345,140,10000.00236561702,43142.64343708531,-33142.641071468286
0x47666fab8bd0ac7003bce3f5c3585383f09486e2,2025-02-21 14:15:11,2025-04-04 01:00:35,41,4668,113.85365853658537,268,4401,18989513791.07578,19972631.20679325,18969541159.868984
0x4c198b3b5f3a4b1aa706dac73d826c2b795ccd67,2025-02-21 15:52:23,2025-03-03 09:57:23,9,238,26.444444444444443,173,65,20272695.190995805,21599.45241477945,20251095.738581024
0x51e9d833ecae4e8d9d8be17300aee6d3398c135d,2025-02-21 15:48:23,2025-03-03 08:28:35,9,575,63.888888888888886,489,86,20010920.011064768,40565.098561318126,19970354.91250345
0x52207ec7b1b43aa5db116931a904371ae2c1619e,2025-02-21 15:48:47,2025-03-03 09:57:23,9,624,69.33333333333333,545,79,20010873.524056867,50432.81352266032,19960440.710534208
0x55cca2f5eb07907696afe4b9db5102bce5feb734,2025-02-21 16:05:11,2025-03-06 09:18:11,12,258,21.5,149,109,20110158.39837778,25288.11417681332,20084870.284200966
0x5af75eab6bec227657fa3e749a8bfd55f02e4b1d,2025-02-21 15:50:59,2025-03-03 10:21:47,9,245,27.22222222222222,169,76,20262609.981476765,20274.14063348738,20242335.84084328
0x660bfcea3a5faf823e8f8bf57dd558db034dea1d,2025-02-21 15:50:59,2025-03-03 08:13:47,9,338,37.55555555555556,200,138,20292648.513767786,23660.568663221435,20268987.945104565
0x684d4b58dc32af786bf6d572a792ff7a883428b9,2025-02-21 15:52:35,2025-03-03 09:47:47,9,243,27.0,165,78,20272499.1218578,25855.49872158467,20246643.623136215
