contractAddress,tokenSymbol,decimals
0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6 uint256
0x41ace2b33b5aec0e6708cfb7e0f698a46e6d9180,HACKER,18 uint8
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,
0xd29da236dd4aac627346e1bba06a619e8c22d7c5,MAGA,9 uint8
0xb6c0189080a6441caf056b856dd4d795b909c460,MOON,18 uint8
0x808688c820ab080a6ff1019f03e5ec227d9b522b,BAG,18 uint8
0x29f7bbbc757abb299dd18e70f0d0f08cc7d570e6,ЕTH,
0x0d99217c4084b141dcab56d83693994ba8fda911,ЕТН,
0x5b3cf1d870c52ccda2ac9327db7b879ad3cb1c13,ETH,
0xc9de9d7c87ac883aad90ab124b64bd629a6e097b,ETH,
0x669507921b89c11536fe28fb2b955fbc23dbe86d,EТH,
0x2a120e7f2f1d8ffd173ed17aa5089f11206b5177,ЕТН...,
0xb67718b98d52318240c52e71a898335da4a28c42,INNBC,6 uint8
0x669ad868e4ba496c16a82a04becab52c2df5854a,ETH,
0x567295e0356d8a520d6554758fc2b8669e53d1a7,ETH,
0xf32367fa82f71385c8db2e9c18a0a1d35a5e9b61,ETH,
0xec84a5249b19f5bcd5123cff73512bcc05c8e33e,ЕTH,
0x06450dee7fd2fb8e39061434babcfc05599a6fb8,XEN,18 uint8
0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,mETH,
0xe6829d9a7ee3040e1276fa75293bde931859e8fa,cmETH,
0x9dc9752f0dabf08b62ac8c84e5d26d055574e171,NC-Eligible (Verify: https://nodecoin.claims),
0x2f22686d82dded300c975e63b62efbe824c9d236,ETH,
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,
0x294d44386c9ff8c38659511297a2e08d829f9336,ARMY,18 uint8
0xf61e18a4f2b1a3784054393fce90848394fc3799,ЕRC20,
0x4513336b66feb805da11fe62299222963c8fac93,NC-Eligible (Verify: https://nodecoin.dev/verify),
0x97d4f49eeb0e2c96d5ebaa71ab8418e563ecd9fd,LSD,9 uint8
0x12603392ba856b85d01c2a697ef47d26e827cfb8,ETH,
0xee33058e9fceb8ebece8bdb0e70fcb257595c562,stEТH,
0x1c75a0e50e488a8ef04cb681d24486c74a2802d7,ѕтETН,
0xebb66a88cedd12bfe3a289df6dfee377f2963f12,OSCAR,9 uint8
0x95ed629b028cf6aadd1408bb988c6d1daabe4767,DORKY,9 uint8
0xad86b91a1d1db15a4cd34d0634bbd4ecacb5b61a,Daram,18 uint8
0xf50b06e0498e79d430f15b8a6cff6e35db537d4e,BYEBIT,9 uint8
0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697,OVR,18 uint8
0xa9e8acf069c58aec8825542845fd754e41a9489a,pepecoin,18 uint8
0x3d3dd8256195c8aa2056a8d25e02924c3a45fe5e,stETH,
0x85bea4ee627b795a79583fcede229e198aa57055,Marvin,18 uint8
0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee,Neiro,9 uint8
0xe99379955b676d5a7ebe3f42f2b684796e48d437,EGG,18 uint8
0x0b5326da634f9270fb84481dd6f94d3dc2ca7096,ETHO,18 uint8
0x514910771af9ca656af840dff83e8264ecf986ca,LINK,18 uint8
0x15e6e0d4ebeac120f9a97e71faa6a0235b85ed12,SAVM,18 uint8
0xaa95f26e30001251fb905d264aa7b00ee9df6c18,Kendu,18 uint8
0x64c5cba9a1bfbd2a5faf601d91beff2dcac2c974,MYSTERY,18 uint8
0x1f1a070db88ef3302890c9b68bf7b7f3dca6e1f3,BERA,18 uint8
0xa0084063ea01d5f09e56ef3ff6232a9e18b0bacd,CYDX,18 uint8
0x335f4e66b9b61cee5ceade4e727fcec20156b2f0,ELMO,18 uint8
0x8eef5a82e6aa222a60f009ac18c24ee12dbf4b41,TXL,18 uint8
0x841a3083074b1a40b644bf2ba2491a731b6da277,FATAL,12 uint8
0x558ec3152e2eb2174905cd19aea4e34a23de9ad6,BRD,18 uint256
0x538a151dd910c1d1227719bd400d6c4f99ea06d0,CHM,18 uint8
0x98bdd7aadda75cc41776c4e8e529457a781c6c5f,BybitExploiter,18 uint256
0xef3daa5fda8ad7aabff4658f1f78061fd626b8f0,MUZZ,18 uint8
0xa4287479814cddbeb33d06cb922e9d2de8254f54,stETH,
0x7de2a96f4c3f0035ad49674b58a9f53e2e5a8d64,stETH,
0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,FXS,18 uint8
0xa8f41d54fd002aa0d027d010cdc3fcf3fd8f40c7,ЕТН...,
0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18 uint8
0xa486c18410b32bb1d6ede632663b95423aaf5310,DАI,
0x58a24d68c1ec766502c6fcbeef9676582ef5aeaa,DAІ,
0xe2f597512aa100e818959dc70475dde429e5aadf,DАI,
0x4176953afd25cf2eff60f804505cef9b9caa370e,NC-Eligible (Verify: https://nodecoin.dev/verify),
0xfd4168e642ebd04c3684a6cdb3a5e86de85d3908,API,18 uint8
0xf5a893cc9b09c46fdaece4301abc88c5c9c926c2,AVC,18 uint8
0xfabda8051efe4462367785953a3bba55cefe7215,ETH,
0x802e10be829efa852402e67ff4b7041a24db4eb4,EТH,
0x250058f8bf3f9b07edf6bfd2fba7060315a676c4,ЕТН...,
0x47c639efbabb3af26f95efb571293479e6c1d9cd,ЕTH,
